Vaccine Developer ,Manufacturer                            ,Manufacturer Type     ,Manufacturer Location,Income Level2      ,Anticipated Production Dose/Year (in millions),Anticipated Production Total Doses (in millions),Date Arrangement Publicly Announced,Part of Combination Procurement Arrangement,Government Sponsored/Supported,Arrangement Category     ,Arrangement Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Associated upgrades/technology transfer details                                                                                                                                                                                                                                                                                                                                                            ,Financing Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Primary Market Intended For,Income Level3      ,Secondary Market         ,Income Level4      ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Sources
AstraZeneca/Oxford,JCR Pharma                              ,Publicly traded       ,Japan                ,High income        ,                                              ,90                                              ,12/1/2020                          ,Yes                                        ,Japan                         ,Bulk substance production,Subcontracted with Daiichi Sankyo and Meiji (drugmakers) for fill-and-finish.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"As part of condition of government grant to expand vaccine production capacity, will build additional facility in Japan, to be completed by October 2022.                                                                                                                                                                                                                                                ",Supported by Japanese government grant. Company will invest 108.28 USD to build new facility.                                                                                                                                                                                                                                                                                                                                                                                    ,Japan                      ,High income        ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.channelnewsasia.com/news/asia/japan-jcr-pharma-build-new-plant-covid-19-vaccine-14332146 ; https://asia.nikkei.com/Spotlight/Coronavirus/Japan-to-produce-90m-doses-of-AstraZeneca-COVID-19-vaccine
AstraZeneca/Oxford,Fiocruz                                 ,State-owned enterprise,Brazil               ,Upper middle income,200                                           ,                                                ,6/30/2020                          ,Yes                                        ,Brazil                        ,Phased full process      ,"Fiocruz will initially fill and finish the active ingredients sent to Brazil, and is eventually aiming to produce it entirely                                                                                                                                                                                                                                                                                                                                                                                                            ","AstraZeneca will transfer all relevant tech, API, and know-how before July 2021                                                                                                                                                                                                                                                                                                                          ","Varies by source. Approximately 348 million USD is predicted by the Brazilian MoH to be transferred. 98.2m for vaccine processing; 244.4m for technology, including API receipt and tech transfer; and 16.1m for adaptations to the ""productive and quality control areas"". Other sources put the cost at 360m to cover both purchase of 100m doses and the licensing rights. Vaccine cost 3.16 USD/dose.                                                                    ",Brazil                     ,Upper middle income,                         ,#N/A               ,"Before July 2021 100.4 m doses will be produced; up until that point, neither side is allowed to introduce profit margins. After that, Fiocruz is anticipated to be capable of indepenently manufacturing the vaccine. COPY OF CONTRACT AVAILABLE. In Jan 2021, there are reports of unexpected delays with the tech tranfer/Fiocruz not being able to produce vaccines as quickly as had been expected.                                                                                                                                                        ",https://www.fiotec.fiocruz.br/en/news/7233-fiocruz-and-astrazeneca-align-details-to-produce-a-vaccine-for-covid-19 ; https://portal.fiocruz.br/en/news/covid-19-vaccine-fiocruz-discloses-its-technological-order-agreement-astrazeneca ; https://agencia.fiocruz.br/sites/agencia.fiocruz.br/files/u34/contrato_etec.pdf; https://www.fiercepharma.com/manufacturing/astrazeneca-bumps-up-vaccine-deal-brazil-to-360m-more-doses-licensing-rights
AstraZeneca/Oxford,Shenzhen Kangtai                        ,Publicly traded       ,China                ,Upper middle income,400                                           ,                                                ,8/6/2020                           ,No                                         ,                              ,Full process             ,"Shenzhen Kangtai guaranteeing production of 100m by end of 2020 and 200m/year at least by end of 2021. Under terms, manufacturer will have exclusive rights to conduct clinical trials of the candidate in China.                                                                                                                                                                                                                                                                                                                        ","AstraZeneca to provide tech transfer to ""develop, produce, and commercialize"" the product in China.                                                                                                                                                                                                                                                                                                    ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,China                      ,Upper middle income,                         ,#N/A               ,"The facility, as of Feb 2021, has been expanded to double its capacity, and will be able to produce up to 400m doses per year. Exclusive deal with Shenzhen Kangtai to supply the AstraZeneca vaccine to Chinese market. Questions raised about viability of deal, given that it is unclear whether China will accept foreign clinical trial results and there are not enough cases to complete trials in China at this time.                                                                                                                                   ",https://www.reuters.com/article/us-health-coronavirus-kangtai-astrazenec-idUSKBN2A20VB; https://www.bioworld.com/articles/496620-astrazeneca-partners-with-kangtai-bio-to-bring-covid-19-vaccine-to-china ; https://www.reuters.com/article/health-coronavirus-astrazeneca-kangtai-b/astrazeneca-in-deal-with-kangtai-bio-to-supply-potential-covid-19-vaccine-in-china-idUSL4N2F82BI?edition-redirect=uk ; https://www.nytimes.com/2020/12/07/business/china-vaccine-astrazeneca.html
AstraZeneca/Oxford,Serum Institute                         ,Publicly traded       ,India                ,Lower middle income,1000                                          ,                                                ,6/4/2020                           ,No                                         ,                              ,Full process             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Licensing agreement, limited information on tech transfer                                                                                                                                                                                                                                                                                                                                                ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,India                    ,Lower middle income,"The original agreement was to supply one billion doses for low-and-middle-income countries, with 400m before end of 2020. Unclear what proportion of this will be for use in India versus available to other LMICs, however the Serum Institute has stated that half of all vaccines manufactured by it will be reserved for the domestic market.                                                                                                                                                                                                               ",https://www.astrazeneca.com/media-centre/articles/2020/astrazeneca-takes-next-steps-towards-broad-and-equitable-access-to-oxford-universitys-potential-covid-19-vaccine.html
AstraZeneca/Oxford,Siam Bioscience                         ,Privately held        ,Thailand             ,Upper middle income,                                              ,200                                             ,10/27/2020                         ,Yes                                        ,Thailand                      ,Bulk substance production,"Arrangement signed to enable large scale manufacturing at Siam Bioscience and supply of the vaccine in South East Asia through technology transfer. A letter of intent signed between the Ministry of Public Health (Thailand), SCG, Siam Bioscience and AstraZeneca.                                                                                                                                                                                                                                                                    ","The press releases for the deal mention 'technology transfer' without any specific details, focusing on increasing global manufacturing capacities.                                                                                                                                                                                                                                                      ",About $16.7m support from the government and $3.3m from SCG                                                                                                                                                                                                                                                                                                                                                                                                                      ,                           ,#N/A               ,                         ,#N/A               ,"Intended for South-East Asia market. More than half of the anticipated 200m doses are expected to be exported, with only 26m doses supposedly reserved for Thailand.                                                                                                                                                                                                                                                                                                                                                                                            ",
AstraZeneca/Oxford,IRBM                                    ,Privately held        ,Italy                ,High income        ,                                              ,70                                              ,5/28/2020                          ,No                                         ,                              ,Full process             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.reuters.com/article/uk-health-coronavirus-italy-vaccine/italy-set-for-16-million-astrazeneca-covid-19-shots-in-early-2021-source-idUKKBN2841KY ; https://www.advent-gmp.com/news/irbms-advent-announces-manufacture-of-13000-doses-of-covid-19-vaccine-for-use-in-phase-2-3-clinical-trials-by-the-university-of-oxford/
AstraZeneca/Oxford,mAbxience                               ,Privately held        ,Spain                ,High income        ,200                                           ,                                                ,8/17/2020                          ,No                                         ,                              ,Full process             ,"Arrangement signed to manufacture active ingredient in Argentina, then complete production and filling at a plant in Mexico. To produce at least 200m doses for Latin America (excluding Brazil). Option to increase to 400 m. Funded by Carlos Slim Foundation.                                                                                                                                                                                                                                                                         ",N/A                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Latin America & Caribbean  ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.mabxience.com/mabxience-enters-into-an-agreement-with-astrazeneca-to-produce-covid-19-vaccine/; https://www.aljazeera.com/news/2020/08/mexico-signs-covid-19-vaccine-deal-cases-top-500000-200814061708568.html ;  https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_Latin_America_Mexico_Argentina.pdf
AstraZeneca/Oxford,Halix                                   ,Privately held        ,Netherlands          ,High income        ,                                              ,                                                ,12/8/2020                          ,No                                         ,                              ,Full process             ,"To provide ""commercial manufacturing of drug substance"" at its cGMP facility in the Netherlands.                                                                                                                                                                                                                                                                                                                                                                                                                                       ",It is adding two additional viral vector production lines to meet demand.                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.halix.nl/2020/12/08/halix-signs-agreement-astrazeneca-commercial-manufacture-covid-19-vaccine/
AstraZeneca/Oxford,Oxford Biomedica                        ,Publicly traded       ,United Kingdom       ,High income        ,                                              ,                                                ,9/1/2020                           ,No                                         ,United Kingdom                ,Full process             ,"18-month supply agreement, as part of a 3 year Master Supply and Development Agreement for ""large-scale commercial manufacture"" of the vaccine candidate. Will be produced at a facility with a up to 1,000L scale                                                                                                                                                                                                                                                                                                                     ",                                                                                                                                                                                                                                                                                                                                                                                                           ,"AZ will pay Oxford Biomedica 15m GBP upfront as a ""capacity reservation fee"". Oxford Biomedica ""will reserve capacity for AstraZeneca in up to three manufacturing sites.""                                                                                                                                                                                                                                                                                                 ",United Kingdom             ,High income        ,World                    ,0                  ,"United Kingdom does not appear to be a direct party to this arrangement, but Oxford Biomedica is part of a separate arrangement with the UK government, via the Vaccines Manufacturing Innovation Centre, which is intended to be used ""by UK authorities to  manufacture vaccines rapidly in the event of a future pandemic."" Through this arrangement, Oxford Biomedica received funding to speed up development of two new manufacturing suites.                                                                                                           ",https://www.oxb.com/news-media/press-release/oxford-biomedica-signs-supply-agreement-astrazeneca-expand-manufacturing
AstraZeneca/Oxford,"Albany Molecular Research, Inc (AMRI) ",Publicly traded       ,United States        ,High income        ,                                              ,                                                ,9/3/2020                           ,No                                         ,United States                 ,Fill-and-finish          ,"AMRI will provide fill-and-finish through its plant in New Mexico; potential to ""produce millions of doses of AZD1222 annually"".                                                                                                                                                                                                                                                                                                                                                                                                       ",Plans to add approximately 150 employees at its New Mexico plant to meet production demands.                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,"US not a direct party to the arrangement, but BARDA appears to have provided the funding to AstraZeneca to seek out this manufacturing arrangement.                                                                                                                                                                                                                                                                                                                                                                                                             ",https://www.amriglobal.com/blog/news-and-events/news/amri-selected-to-support-astrazeneca-in-delivery-of-covid-19-vaccine/ ; https://www.bizjournals.com/albuquerque/news/2020/09/18/abq-manufacturer-to-play-a-role-in-covid-vaccine.html
