Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
AstraZeneca/Oxford	Approved	Albania	Yes			Kosovo	0.0005	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 4,640 	8,333.44	0.0003	0.014%	 1,794,248 	 1.794 	Albania has started by reserving 500 doses for health workers from Kosovo and has also indicated that more doses will follow.	https://www.reuters.com/article/us-health-coronavirus-kosovo-idUSKBN2BC0NH
Gamaleya	Approved	Alrosa	Yes			Angola	0.05	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 2,960 	94,225.02	0.0016	0.079%	 31,825,295 	 31.825 	Alrosa, a diamond mining company from Russia, will buy and donate the vaccine to Zimbabwe. 0.025m doses delivered	https://www.thediamondloupe.com/sustainability/2021-06-02/alrosa-donates-%E2%80%98sputnik-v%E2%80%99-vaccines-angola ; http://eng.alrosa.ru/alrosa-together-with-russias-embassy-donated-sputnik-v-vaccines-to-angola/ ; http://country.eiu.com/article.aspx?articleid=1610717544&Country=Zimbabwe&topic=Politics&subtopic=Forecast&subsubtopic=International+relations&u=1&pid=180573001&oid=1440574927
Gamaleya	Approved	Alrosa	Yes			Zimbabwe	0.05	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 1,390 	20,392.45	0.0034	0.171%	 14,645,468 	 14.645 	Alrosa, a diamond mining company from Russia, will buy and donate the vaccine to Zimbabwe. 0.025m doses delivered	https://www.herald.co.zw/president-receives-sputnik-v-jabs/ ; http://country.eiu.com/article.aspx?articleid=1610717544&Country=Zimbabwe&topic=Politics&subtopic=Forecast&subsubtopic=International+relations&u=1&pid=180573001&oid=1440574927
Not available	#N/A	Australia	Unclear			Cambodia	3	#N/A		Grant	Secondary	Direct	Lower middle income	 1,530 	25,211.73	0.1820	#N/A	 16,486,542 	 16.487 	Australia has promised a grant for 28m USD to purchase 3m vaccine doses (unclear which manufacturer).	https://abcnews.go.com/Health/wireStory/cambodia-covid-19-vaccine-key-ally-china-75738331
AstraZeneca/Oxford	Approved	Australia	Yes			Papua New Guinea	1.008	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,750 	24,151.32	0.1149	5.743%	 8,776,109 	 8.776 	Australia has donated 8000 doses to PNG and has committed to procuring another 1m doses for PNG that will be paid for by Australia.	https://www.reuters.com/article/us-health-coronavirus-papua/papua-new-guina-gears-up-for-covid-19-shots-as-8000-doses-arrive-from-australia-idUSKBN2BG0FM ; https://www.theguardian.com/world/2021/mar/17/theyre-our-family-australia-pledges-1m-covid-19-vaccine-doses-to-papua-new-guinea
AstraZeneca/Oxford	Approved	Australia	Yes	CSL	Australia	Timor-Leste	0.02	2	May-21	Donation	Secondary	Direct	Lower middle income	 2,020 	2,606.90	0.0155	0.773%	 1,293,119 	 1.293 	Doses donated as part of regional relief effort	https://reliefweb.int/report/timor-leste/australia-s-support-vaccine-rollout-pacific-and-timor-leste
AstraZeneca/Oxford	Approved	Australia	Yes	CSL	Australia	Fiji	0.01	2	May-21	Donation	Secondary	Direct	Upper middle income	 5,800 	5,163.26	0.0112	0.562%	 889,953 	 0.890 	Doses donated as part of regional relief effort	https://reliefweb.int/report/fiji/covid-19-az-vaccine-australian-government
AstraZeneca/Oxford	Approved	Australia	Yes	CSL	Australia	Solomon Islands	0.06	2	May-21	Donation	Secondary	Direct	Lower middle income	 2,390 	1,598.87	0.0896	4.479%	 669,823 	 0.670 	Doses donated as part of regional relief effort	https://www.abc.net.au/news/2021-05-21/pacific-nations-to-roll-out-chinese-made-covid-19-vaccinations/100151672
Not available	#N/A	Australia	Yes			Lao PDR	1	#N/A		Grant	Secondary	Direct	Lower middle income	 2,570 	18,438.74	0.1395	#N/A	 7,169,455 	 7.169 	Australia is supporting Laos through grant assistance that will allow the country to obtain 1m doses of unknown vaccine	https://laos.embassy.gov.au/vtan/VaccineRoll-outAnnouncement.html
Pfizer/BioNTech	Approved	Austria	Yes			Czech Republic	0.03	2	Apr-21	Donation	Secondary	Direct	High income	 21,940 	234,060.68	0.0028	0.141%	 10,669,709 	 10.670 		https://www.politico.eu/article/czech-republic-coronavirus-vaccine-andrej-babis-allies-offer-80k/
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	Belize	0.001	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 4,480 	1,750.39	0.0026	0.128%	 390,353 	 0.390 	Barbados received a vaccine donation from India; no record of other purchase of AZ, so appears that they donated part of this received donation from India to Belize.	https://medium.com/@caribbeanlifestylebelize/belize-receives-1st-shipment-of-covid-19-vaccines-today-from-barbados-f3a3861f5994
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	Grenada	0.0005	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 9,840 	1,102.27	0.0045	0.223%	 112,003 	 0.112 	Barbados received a vaccine donation from India; Barbados then donated some of those doses to Grenada	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	Guyana	0.0015	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 6,630 	5,188.28	0.0019	0.096%	 782,766 	 0.783 	Barbados received a vaccine donation from India, then donated some of those doses to Guyana	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	St. Lucia	0.001	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 11,020 	2,014.24	0.0055	0.274%	 182,790 	 0.183 	Barbados received a vaccine donation from India, subsequently donated some doses to St. Lucia	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
